date,value
2023-12-18,2688.0
2023-12-19,1371.0
2023-12-20,5115.0
2023-12-21,10275.0
2023-12-22,4672.0
2023-12-23,295.0
2023-12-24,4528.0
2023-12-25,2668.0
2023-12-26,3799.0
2023-12-27,1510.0
2023-12-28,9058.0
2023-12-29,3610.0
2023-12-30,3677.0
2023-12-31,4619.0
2024-01-01,2225.0
2024-01-02,2353.0
2024-01-03,3196.0
2024-01-04,5805.0
2024-01-05,2944.0
2024-01-06,1563.0
2024-01-07,460.0
2024-01-08,2529.0
2024-01-09,2037.0
2024-01-10,1692.0
2024-01-11,5032.0
2024-01-12,1979.0
2024-01-13,657.0
2024-01-14,68.0
2024-01-15,1979.0
2024-01-16,2094.0
2024-01-17,333.0
2024-01-18,747.0
2024-01-19,409.0
2024-01-20,1747.0
2024-01-21,3086.0
2024-01-22,5358.0
2024-01-23,4358.0
2024-01-24,320.0
2024-01-25,1356.0
2024-01-26,2152.0
2024-01-27,1125.0
2024-01-28,386.0
2024-01-29,200.0
2024-01-30,207.0
2024-01-31,2218.0
2024-02-01,1175.0
2024-02-02,345.0
2024-02-03,2403.0
2024-02-04,1496.0
2024-02-05,1362.0
2024-02-06,2245.0
2024-02-07,1016.0
2024-02-08,3120.0
2024-02-09,264.0
2024-02-10,2365.0
2024-02-11,2979.0
2024-02-12,1060.0
2024-02-13,4693.0
2024-02-14,1652.0
2024-02-15,1802.0
2024-02-16,3653.0
2024-02-17,838.0
2024-02-18,811.0
2024-02-19,3618.0
2024-02-20,4096.0
2024-02-21,4686.0
2024-02-22,6796.0
2024-02-23,3840.0
2024-02-24,3862.0
2024-02-25,3627.0
2024-02-26,2906.0
2024-02-27,4176.0
2024-02-28,3365.0
2024-02-29,4409.0
2024-03-01,363.0
2024-03-02,38.0
2024-03-03,3065.0
2024-03-04,2517.0
2024-03-05,3651.0
2024-03-06,3400.0
2024-03-07,6057.0
2024-03-08,4564.0
2024-03-09,161.0
2024-03-10,4770.0
2024-03-11,3045.0
2024-03-12,10409.0
2024-03-13,1691.0
2024-03-14,10520.0
2024-03-15,3731.0
2024-03-16,20.0
2024-03-17,461.0
2024-03-18,3830.0
2024-03-19,4870.0
2024-03-20,1284.0
2024-03-21,4212.0
2024-03-22,1887.0
2024-03-23,1612.0
2024-03-24,2973.0
2024-03-25,3794.0
2024-03-26,7672.0
2024-03-27,1115.0
2024-03-28,4092.0
2024-03-29,3447.0
2024-03-30,846.0
2024-03-31,21.0
2024-04-01,2212.0
2024-04-02,9099.0
2024-04-03,6356.0
2024-04-04,3725.0
2024-04-05,1343.0
2024-04-06,6294.0
2024-04-07,1190.0
2024-04-08,2702.0
2024-04-09,1044.0
2024-04-10,1397.0
2024-04-11,8559.0
2024-04-12,3290.0
2024-04-13,1054.0
2024-04-14,652.0
